pay_date,contractor_id,contractor_name,hours,rate,amount_paid,coded_to
01/20/2025,1099-1,Linda Flores,70.5,160.0,11280.0,Contractor Costs
01/08/2025,1099-3,Linda Jones,98.1,170.0,16677.0,Contractor Payments - 1099
01/13/2025,1099-5,Sandra Baker,30.9,120.0,3708.0,Contractor Costs
01/11/2025,1099-6,Fatima Allen,106.7,100.0,10670.0,Contractor Costs
01/02/2025,1099-7,Sandra Adams,106.4,140.0,14896.0,Contractor Payments - 1099
01/18/2025,1099-8,Patricia Young,107.2,120.0,12864.0,Contractor Payments - 1099
02/03/2025,1099-1,Linda Flores,40.8,160.0,6528.0,Contractor Payments - 1099
02/05/2025,1099-2,James Taylor,114.0,130.0,14820.0,Contractor Costs
02/12/2025,1099-4,Mark Allen,136.5,150.0,20475.0,Contractor Payments - 1099
02/27/2025,1099-5,Sandra Baker,121.1,120.0,14532.0,Contractor Payments - 1099
02/13/2025,1099-6,Fatima Allen,34.1,100.0,3410.0,Contractor Payments - 1099
02/20/2025,1099-7,Sandra Adams,66.5,140.0,9310.0,Contractor Payments - 1099
02/01/2025,1099-8,Patricia Young,81.7,120.0,9804.0,Contractor Payments - 1099
03/26/2025,1099-1,Linda Flores,56.7,160.0,9072.0,Contractor Costs
03/24/2025,1099-3,Linda Jones,90.0,170.0,15300.0,Contractor Payments - 1099
03/20/2025,1099-6,Fatima Allen,141.9,100.0,14190.0,Contractor Costs
03/04/2025,1099-7,Sandra Adams,136.8,140.0,19152.0,Contractor Costs
03/03/2025,1099-8,Patricia Young,67.2,120.0,8064.0,Contractor Payments - 1099
04/06/2025,1099-1,Linda Flores,74.1,160.0,11856.0,Contractor Payments - 1099
04/02/2025,1099-2,James Taylor,52.1,130.0,6773.0,Contractor Costs
04/22/2025,1099-4,Mark Allen,82.1,150.0,12315.0,Contractor Costs
04/07/2025,1099-5,Sandra Baker,145.8,120.0,17496.0,Contractor Costs
04/13/2025,1099-6,Fatima Allen,131.0,100.0,13100.0,Contractor Payments - 1099
04/06/2025,1099-7,Sandra Adams,84.7,140.0,11858.0,Contractor Payments - 1099
04/11/2025,1099-8,Patricia Young,121.5,120.0,14580.0,Contractor Costs
05/17/2025,1099-2,James Taylor,84.7,130.0,11011.0,Contractor Costs
05/19/2025,1099-4,Mark Allen,118.1,150.0,17715.0,Contractor Costs
05/22/2025,1099-5,Sandra Baker,106.1,120.0,12732.0,Contractor Costs
05/11/2025,1099-6,Fatima Allen,109.5,100.0,10950.0,Contractor Costs
05/10/2025,1099-8,Patricia Young,87.1,120.0,10452.0,Contractor Costs
06/22/2025,1099-1,Linda Flores,116.8,160.0,18688.0,Contractor Costs
06/09/2025,1099-2,James Taylor,136.9,130.0,17797.0,Contractor Payments - 1099
06/14/2025,1099-3,Linda Jones,47.5,170.0,8075.0,Contractor Payments - 1099
06/22/2025,1099-4,Mark Allen,119.1,150.0,17865.0,Contractor Costs
06/15/2025,1099-5,Sandra Baker,35.8,120.0,4296.0,Contractor Costs
06/11/2025,1099-6,Fatima Allen,107.1,100.0,10710.0,Contractor Payments - 1099
06/30/2025,1099-7,Sandra Adams,42.3,140.0,5922.0,Contractor Payments - 1099
07/04/2025,1099-1,Linda Flores,81.8,160.0,13088.0,Contractor Payments - 1099
07/23/2025,1099-3,Linda Jones,153.8,170.0,26146.0,Contractor Payments - 1099
07/18/2025,1099-4,Mark Allen,85.1,150.0,12765.0,Contractor Payments - 1099
07/19/2025,1099-5,Sandra Baker,136.3,120.0,16356.0,Contractor Costs
07/09/2025,1099-6,Fatima Allen,120.4,100.0,12040.0,Contractor Payments - 1099
07/19/2025,1099-8,Patricia Young,46.3,120.0,5556.0,Contractor Payments - 1099
08/18/2025,1099-1,Linda Flores,75.2,160.0,12032.0,Contractor Payments - 1099
08/16/2025,1099-2,James Taylor,143.0,130.0,18590.0,Contractor Costs
08/11/2025,1099-3,Linda Jones,38.7,170.0,6579.0,Contractor Costs
08/19/2025,1099-4,Mark Allen,132.3,150.0,19845.0,Contractor Costs
08/03/2025,1099-5,Sandra Baker,50.3,120.0,6036.0,Contractor Costs
08/17/2025,1099-6,Fatima Allen,140.8,100.0,14080.0,Contractor Payments - 1099
08/03/2025,1099-7,Sandra Adams,128.9,140.0,18046.0,Contractor Costs
08/10/2025,1099-8,Patricia Young,129.2,120.0,15504.0,Contractor Payments - 1099
09/15/2025,1099-1,Linda Flores,34.4,160.0,5504.0,Contractor Costs
09/10/2025,1099-2,James Taylor,110.3,130.0,14339.0,Contractor Costs
09/17/2025,1099-3,Linda Jones,132.1,170.0,22457.0,Contractor Costs
09/16/2025,1099-5,Sandra Baker,118.7,120.0,14244.0,Contractor Costs
09/09/2025,1099-6,Fatima Allen,39.4,100.0,3940.0,Contractor Costs
09/07/2025,1099-7,Sandra Adams,75.0,140.0,10500.0,Contractor Payments - 1099
10/20/2025,1099-1,Linda Flores,142.2,160.0,22752.0,Contractor Payments - 1099
10/06/2025,1099-2,James Taylor,137.6,130.0,17888.0,Contractor Costs
10/04/2025,1099-5,Sandra Baker,110.7,120.0,13284.0,Contractor Costs
10/25/2025,1099-7,Sandra Adams,62.4,140.0,8736.0,Contractor Costs
10/27/2025,1099-8,Patricia Young,101.0,120.0,12120.0,Contractor Payments - 1099
11/27/2025,1099-1,Linda Flores,125.9,160.0,20144.0,Contractor Payments - 1099
11/04/2025,1099-2,James Taylor,54.8,130.0,7124.0,Contractor Payments - 1099
11/27/2025,1099-3,Linda Jones,74.1,170.0,12597.0,Contractor Payments - 1099
11/25/2025,1099-5,Sandra Baker,50.8,120.0,6096.0,Contractor Costs
11/29/2025,1099-6,Fatima Allen,132.0,100.0,13200.0,Contractor Costs
11/24/2025,1099-7,Sandra Adams,71.3,140.0,9982.0,Contractor Costs
11/21/2025,1099-8,Patricia Young,154.3,120.0,18516.0,Contractor Costs
12/31/2025,1099-1,Linda Flores,110.6,160.0,17696.0,Contractor Payments - 1099
12/08/2025,1099-2,James Taylor,83.6,130.0,10868.0,Contractor Payments - 1099
12/05/2025,1099-3,Linda Jones,60.6,170.0,10302.0,Contractor Payments - 1099
12/30/2025,1099-7,Sandra Adams,139.3,140.0,19502.0,Contractor Payments - 1099
