pay_date,emp_id,employee_name,department,gross_pay,federal_tax,fica,state_ui,net_pay
01/05/2025,E7001,Priya Clark,Warehouse & Ops,2220.83,288.71,169.89,13.32,1748.91
01/05/2025,E7002,Ashley Baker,Warehouse & Ops,2312.5,300.62,176.91,13.88,1821.09
01/05/2025,E7003,Karen Ramirez,Warehouse & Ops,1916.67,249.17,146.63,11.5,1509.37
01/05/2025,E7004,Shirley Williams,Warehouse & Ops,1954.17,254.04,149.49,11.73,1538.91
01/05/2025,E7005,Deborah Gonzalez,Warehouse & Ops,2333.33,303.33,178.5,14.0,1837.5
01/05/2025,E7006,Omar Gonzalez,Warehouse & Ops,1779.17,231.29,136.11,10.68,1401.09
01/05/2025,E7007,Deborah Walker,Warehouse & Ops,2308.33,300.08,176.59,13.85,1817.81
01/05/2025,E7008,Angela Mitchell,Warehouse & Ops,1691.67,219.92,129.41,10.15,1332.19
01/05/2025,E7009,Robert King,Warehouse & Ops,2179.17,283.29,166.71,13.08,1716.09
01/05/2025,E7013,Ashley Davis,Marketing & CS,2325.0,302.25,177.86,13.95,1830.94
01/05/2025,E7014,Steven Hall,Marketing & CS,2654.17,345.04,203.04,15.93,2090.16
01/05/2025,E7015,Ashley Ramirez,Marketing & CS,3450.0,448.5,263.93,20.7,2716.87
01/05/2025,E7016,Melissa Adams,Marketing & CS,3804.17,494.54,291.02,22.83,2995.78
01/05/2025,E7017,George Jackson,Marketing & CS,2641.67,343.42,202.09,15.85,2080.31
01/05/2025,E7018,Eric Roberts,Marketing & CS,2616.67,340.17,200.18,15.7,2060.62
01/05/2025,E7021,Timothy Thompson,G&A,4883.33,634.83,373.57,29.3,3845.63
01/05/2025,E7022,Andrew Scott,G&A,3779.17,491.29,289.11,22.68,2976.09
01/05/2025,E7023,Timothy Davis,G&A,5245.83,681.96,401.31,31.47,4131.09
01/05/2025,E7024,Deborah Smith,G&A,5541.67,720.42,423.94,33.25,4364.06
01/20/2025,E7001,Priya Clark,Warehouse & Ops,2220.83,288.71,169.89,13.32,1748.91
01/20/2025,E7002,Ashley Baker,Warehouse & Ops,2312.5,300.62,176.91,13.88,1821.09
01/20/2025,E7003,Karen Ramirez,Warehouse & Ops,1916.67,249.17,146.63,11.5,1509.37
01/20/2025,E7004,Shirley Williams,Warehouse & Ops,1954.17,254.04,149.49,11.73,1538.91
01/20/2025,E7005,Deborah Gonzalez,Warehouse & Ops,2333.33,303.33,178.5,14.0,1837.5
01/20/2025,E7006,Omar Gonzalez,Warehouse & Ops,1779.17,231.29,136.11,10.68,1401.09
01/20/2025,E7007,Deborah Walker,Warehouse & Ops,2308.33,300.08,176.59,13.85,1817.81
01/20/2025,E7008,Angela Mitchell,Warehouse & Ops,1691.67,219.92,129.41,10.15,1332.19
01/20/2025,E7009,Robert King,Warehouse & Ops,2179.17,283.29,166.71,13.08,1716.09
01/20/2025,E7013,Ashley Davis,Marketing & CS,2325.0,302.25,177.86,13.95,1830.94
01/20/2025,E7014,Steven Hall,Marketing & CS,2654.17,345.04,203.04,15.93,2090.16
01/20/2025,E7015,Ashley Ramirez,Marketing & CS,3450.0,448.5,263.93,20.7,2716.87
01/20/2025,E7016,Melissa Adams,Marketing & CS,3804.17,494.54,291.02,22.83,2995.78
01/20/2025,E7017,George Jackson,Marketing & CS,2641.67,343.42,202.09,15.85,2080.31
01/20/2025,E7018,Eric Roberts,Marketing & CS,2616.67,340.17,200.18,15.7,2060.62
01/20/2025,E7021,Timothy Thompson,G&A,4883.33,634.83,373.57,29.3,3845.63
01/20/2025,E7022,Andrew Scott,G&A,3779.17,491.29,289.11,22.68,2976.09
01/20/2025,E7023,Timothy Davis,G&A,5245.83,681.96,401.31,31.47,4131.09
01/20/2025,E7024,Deborah Smith,G&A,5541.67,720.42,423.94,33.25,4364.06
02/05/2025,E7001,Priya Clark,Warehouse & Ops,2220.83,288.71,169.89,13.32,1748.91
02/05/2025,E7002,Ashley Baker,Warehouse & Ops,2312.5,300.62,176.91,13.88,1821.09
02/05/2025,E7003,Karen Ramirez,Warehouse & Ops,1916.67,249.17,146.63,11.5,1509.37
02/05/2025,E7004,Shirley Williams,Warehouse & Ops,1954.17,254.04,149.49,11.73,1538.91
02/05/2025,E7005,Deborah Gonzalez,Warehouse & Ops,2333.33,303.33,178.5,14.0,1837.5
02/05/2025,E7006,Omar Gonzalez,Warehouse & Ops,1779.17,231.29,136.11,10.68,1401.09
02/05/2025,E7007,Deborah Walker,Warehouse & Ops,2308.33,300.08,176.59,13.85,1817.81
02/05/2025,E7008,Angela Mitchell,Warehouse & Ops,1691.67,219.92,129.41,10.15,1332.19
02/05/2025,E7009,Robert King,Warehouse & Ops,2179.17,283.29,166.71,13.08,1716.09
02/05/2025,E7012,Michelle Smith,Warehouse & Ops,1616.67,210.17,123.68,9.7,1273.12
02/05/2025,E7013,Ashley Davis,Marketing & CS,2325.0,302.25,177.86,13.95,1830.94
02/05/2025,E7014,Steven Hall,Marketing & CS,2654.17,345.04,203.04,15.93,2090.16
02/05/2025,E7015,Ashley Ramirez,Marketing & CS,3450.0,448.5,263.93,20.7,2716.87
02/05/2025,E7016,Melissa Adams,Marketing & CS,3804.17,494.54,291.02,22.83,2995.78
02/05/2025,E7017,George Jackson,Marketing & CS,2641.67,343.42,202.09,15.85,2080.31
02/05/2025,E7018,Eric Roberts,Marketing & CS,2616.67,340.17,200.18,15.7,2060.62
02/05/2025,E7021,Timothy Thompson,G&A,4883.33,634.83,373.57,29.3,3845.63
02/05/2025,E7022,Andrew Scott,G&A,3779.17,491.29,289.11,22.68,2976.09
02/05/2025,E7023,Timothy Davis,G&A,5245.83,681.96,401.31,31.47,4131.09
