pay_date,employee_name,title,gross_pay,federal_tax,fica,benefits_deduction,net_pay
01/15/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
01/15/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
01/15/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
01/15/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
01/15/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
01/28/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
01/28/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
01/28/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
01/28/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
01/28/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
02/15/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
02/15/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
02/15/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
02/15/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
02/15/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
02/28/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
02/28/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
02/28/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
02/28/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
02/28/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
03/15/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
03/15/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
03/15/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
03/15/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
03/15/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
03/28/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
03/28/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
03/28/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
03/28/2025,Tom Alvarez,HR & Ops Manager,4083.33,612.5,312.37,285.83,2872.63
03/28/2025,Chloe Park,Executive Assistant,2833.33,425.0,216.75,198.33,1993.25
04/15/2025,Marcus Doyle,Chief Executive Officer,10208.33,1531.25,780.94,714.58,7181.56
04/15/2025,Priya Natarajan,"Controller (fractional, 3 days/wk across all entities)",4916.67,737.5,376.13,344.17,3458.87
04/15/2025,Jenna Ruiz,"Staff Accountant / Bookkeeper (contractor, offshore)",2250.0,337.5,172.12,157.5,1582.88
