pay_date,emp_id,employee_name,department,gross_pay,federal_tax,fica,state_tax,benefits_deduction,net_pay
01/14/2025,E4001,Charles Rivera,Engineering,6804.17,952.58,520.52,0.0,442.27,4888.8
01/14/2025,E4002,Susan Clark,Engineering,7141.67,999.83,546.34,0.0,464.21,5131.29
01/14/2025,E4003,Ronald Chen,Engineering,6054.17,847.58,463.14,0.0,393.52,4349.93
01/14/2025,E4004,Joshua Singh,Engineering,5391.67,754.83,412.46,0.0,350.46,3873.92
01/14/2025,E4005,Timothy Flores,Engineering,6950.0,973.0,531.67,0.0,451.75,4993.58
01/14/2025,E4006,Nina Moore,Engineering,6108.33,855.17,467.29,0.0,397.04,4388.83
01/14/2025,E4007,Wei Lee,Engineering,5737.5,803.25,438.92,0.0,372.94,4122.39
01/14/2025,E4008,Jacob Nguyen,Engineering,5895.83,825.42,451.03,0.0,383.23,4236.15
01/14/2025,E4009,James Torres,Engineering,5979.17,837.08,457.41,0.0,388.65,4296.03
01/14/2025,E4010,Robert Clark,Engineering,5912.5,827.75,452.31,0.0,384.31,4248.13
01/14/2025,E4011,Elizabeth Wilson,Engineering,6383.33,893.67,488.32,0.0,414.92,4586.42
01/14/2025,E4012,David Lewis,Engineering,6000.0,840.0,459.0,0.0,390.0,4311.0
01/14/2025,E4013,Grace Thompson,Engineering,5491.67,768.83,420.11,0.0,356.96,3945.77
01/14/2025,E4014,Carlos Perez,Engineering,7287.5,1020.25,557.49,0.0,473.69,5236.07
01/14/2025,E4019,Ashley Lewis,Sales & Marketing,5379.17,753.08,411.51,0.0,349.65,3864.93
01/14/2025,E4020,James Green,Sales & Marketing,5325.0,745.5,407.36,0.0,346.12,3826.02
01/14/2025,E4021,Rebecca Rivera,Sales & Marketing,3270.83,457.92,250.22,0.0,212.6,2350.09
01/14/2025,E4022,Timothy Martinez,Sales & Marketing,5183.33,725.67,396.52,0.0,336.92,3724.22
01/14/2025,E4023,Rebecca Thompson,Sales & Marketing,3854.17,539.58,294.84,0.0,250.52,2769.23
01/14/2025,E4024,Eric Rodriguez,Sales & Marketing,3933.33,550.67,300.9,0.0,255.67,2826.09
01/14/2025,E4025,Stephanie Thomas,Sales & Marketing,3416.67,478.33,261.38,0.0,222.08,2454.88
01/14/2025,E4026,James Nelson,Sales & Marketing,4975.0,696.5,380.59,0.0,323.38,3574.53
01/14/2025,E4027,Karen Harris,Sales & Marketing,5341.67,747.83,408.64,0.0,347.21,3837.99
01/14/2025,E4029,Carol Allen,Sales & Marketing,4279.17,599.08,327.36,0.0,278.15,3074.58
01/14/2025,E4031,Michelle White,Customer Support,2841.67,397.83,217.39,0.0,184.71,2041.74
01/14/2025,E4032,Sandra Nelson,Customer Support,2445.83,342.42,187.11,0.0,158.98,1757.32
01/14/2025,E4033,Angela Chen,Customer Support,2720.83,380.92,208.14,0.0,176.85,1954.92
01/14/2025,E4034,Richard Rivera,Customer Support,2433.33,340.67,186.15,0.0,158.17,1748.34
01/14/2025,E4035,Mark Moore,Customer Support,3179.17,445.08,243.21,0.0,206.65,2284.23
01/14/2025,E4036,Grace Lewis,Customer Support,2941.67,411.83,225.04,0.0,191.21,2113.59
