post_date,description,amount,running_balance,cleared
01/02/2025,Sandra Adams - Contractor payment,-14896.0,46104.0,Y
01/08/2025,Linda Jones - Contractor payment,-16677.0,29427.0,Y
01/11/2025,Fatima Allen - Contractor payment,-10670.0,18757.0,Y
01/13/2025,Sandra Baker - Contractor payment,-3708.0,15049.0,Y
01/18/2025,Patricia Young - Contractor payment,-12864.0,2185.0,Y
01/20/2025,Linda Flores - Contractor payment,-11280.0,-9095.0,Y
01/26/2025,Bellwright Manufacturing - Client payment received,22500.0,13405.0,Y
01/27/2025,Truline Automotive Parts - Client payment received,31050.0,44455.0,Y
02/01/2025,Patricia Young - Contractor payment,-9804.0,34651.0,Y
02/03/2025,Linda Flores - Contractor payment,-6528.0,28123.0,Y
02/03/2025,Corsair Tooling Co - Client payment received,24955.0,53078.0,Y
02/03/2025,Greenfield Machine Works - Client payment received,30078.0,83156.0,Y
02/05/2025,James Taylor - Contractor payment,-14820.0,68336.0,Y
02/12/2025,Mark Allen - Contractor payment,-20475.0,47861.0,Y
02/13/2025,Fatima Allen - Contractor payment,-3410.0,44451.0,Y
02/18/2025,Greenfield Machine Works - Client payment received,18592.0,63043.0,Y
02/20/2025,Sandra Adams - Contractor payment,-9310.0,53733.0,Y
02/22/2025,Greenfield Machine Works - Client payment received,9855.0,63588.0,Y
02/25/2025,Bellwright Manufacturing - Client payment received,11622.0,75210.0,Y
02/27/2025,Greenfield Machine Works - Client payment received,37262.0,112472.0,Y
02/27/2025,Sandra Baker - Contractor payment,-14532.0,97940.0,Y
03/03/2025,Patricia Young - Contractor payment,-8064.0,89876.0,Y
03/03/2025,Amberlyn Packaging Systems - Client payment received,8595.0,98471.0,Y
03/04/2025,Sandra Adams - Contractor payment,-19152.0,79319.0,Y
03/05/2025,Truline Automotive Parts - Client payment received,18259.0,97578.0,Y
03/07/2025,Truline Automotive Parts - Client payment received,21018.0,118596.0,Y
03/09/2025,Ashford Precision Metals - Client payment received,7740.0,126336.0,Y
03/10/2025,Corsair Tooling Co - Client payment received,21384.0,147720.0,Y
03/11/2025,Palmetto Industrial Group - Client payment received,10140.0,157860.0,Y
03/14/2025,Dunmore Industrial - Client payment received,30628.0,188488.0,Y
03/15/2025,Keystone Fabrication - Client payment received,15690.0,204178.0,Y
03/17/2025,Halston Industrial Supply - Client payment received,15315.0,219493.0,Y
03/20/2025,Fatima Allen - Contractor payment,-14190.0,205303.0,Y
03/23/2025,Palmetto Industrial Group - Client payment received,5900.0,211203.0,Y
03/24/2025,Linda Jones - Contractor payment,-15300.0,195903.0,Y
03/26/2025,Linda Flores - Contractor payment,-9072.0,186831.0,Y
03/27/2025,Halston Industrial Supply - Client payment received,17640.0,204471.0,Y
03/28/2025,Keystone Fabrication - Client payment received,19008.0,223479.0,Y
03/28/2025,Bellwright Manufacturing - Client payment received,37536.0,261015.0,Y
04/02/2025,James Taylor - Contractor payment,-6773.0,254242.0,Y
04/06/2025,Sandra Adams - Contractor payment,-11858.0,242384.0,Y
04/06/2025,Linda Flores - Contractor payment,-11856.0,230528.0,Y
04/07/2025,Dunmore Industrial - Client payment received,11660.0,260934.0,Y
04/07/2025,Sandra Baker - Contractor payment,-17496.0,243438.0,Y
04/07/2025,Truline Automotive Parts - Client payment received,18746.0,249274.0,Y
04/09/2025,Truline Automotive Parts - Client payment received,11640.0,255078.0,Y
04/09/2025,Keystone Fabrication - Client payment received,31455.0,286533.0,Y
04/11/2025,Patricia Young - Contractor payment,-14580.0,271953.0,Y
04/13/2025,Fatima Allen - Contractor payment,-13100.0,258853.0,Y
04/17/2025,Greenfield Machine Works - Client payment received,26944.0,285797.0,Y
04/22/2025,Mark Allen - Contractor payment,-12315.0,273482.0,Y
04/23/2025,Amberlyn Packaging Systems - Client payment received,27506.0,300988.0,Y
04/24/2025,Truline Automotive Parts - Client payment received,9671.0,310659.0,Y
04/24/2025,Corsair Tooling Co - Client payment received,23452.0,334111.0,Y
04/25/2025,Truline Automotive Parts - Client payment received,28666.0,362777.0,Y
04/30/2025,Truline Automotive Parts - Client payment received,26826.0,389603.0,Y
05/02/2025,Dunmore Industrial - Client payment received,23760.0,442793.0,Y
05/02/2025,Halston Industrial Supply - Client payment received,29430.0,419033.0,Y
05/06/2025,Halston Industrial Supply - Client payment received,16957.0,459750.0,Y
05/08/2025,Ashford Precision Metals - Client payment received,15904.0,475654.0,Y
05/10/2025,Patricia Young - Contractor payment,-10452.0,465202.0,Y
05/11/2025,Palmetto Industrial Group - Client payment received,11070.0,476272.0,Y
05/11/2025,Fatima Allen - Contractor payment,-10950.0,465322.0,Y
05/14/2025,Dunmore Industrial - Client payment received,5575.0,470897.0,Y
05/17/2025,James Taylor - Contractor payment,-11011.0,459886.0,Y
05/18/2025,Corsair Tooling Co - Client payment received,10365.0,470251.0,Y
05/19/2025,Palmetto Industrial Group - Client payment received,28968.0,499219.0,Y
05/19/2025,Mark Allen - Contractor payment,-17715.0,481504.0,Y
05/22/2025,Sandra Baker - Contractor payment,-12732.0,468772.0,Y
06/03/2025,Dunmore Industrial - Client payment received,14400.0,483172.0,Y
06/09/2025,James Taylor - Contractor payment,-17797.0,495476.0,Y
06/09/2025,Keystone Fabrication - Client payment received,30101.0,513273.0,Y
06/11/2025,Amberlyn Packaging Systems - Client payment received,15585.0,511061.0,Y
06/11/2025,Fatima Allen - Contractor payment,-10710.0,500351.0,Y
06/14/2025,Linda Jones - Contractor payment,-8075.0,492276.0,Y
06/15/2025,Sandra Baker - Contractor payment,-4296.0,487980.0,Y
06/16/2025,Truline Automotive Parts - Client payment received,23788.0,511768.0,Y
06/18/2025,Ashford Precision Metals - Client payment received,33432.0,545200.0,Y
06/18/2025,Dunmore Industrial - Client payment received,25828.0,571028.0,Y
06/18/2025,Bellwright Manufacturing - Client payment received,42372.0,613400.0,Y
06/20/2025,Truline Automotive Parts - Client payment received,26078.0,639478.0,Y
06/22/2025,Mark Allen - Contractor payment,-17865.0,602925.0,Y
06/22/2025,Linda Flores - Contractor payment,-18688.0,620790.0,Y
06/27/2025,Truline Automotive Parts - Client payment received,33488.0,636413.0,Y
06/30/2025,Sandra Adams - Contractor payment,-5922.0,630491.0,Y
07/01/2025,Halston Industrial Supply - Client payment received,30030.0,660521.0,Y
07/03/2025,Greenfield Machine Works - Client payment received,37824.0,698345.0,Y
07/04/2025,Linda Flores - Contractor payment,-13088.0,685257.0,Y
07/09/2025,Ashford Precision Metals - Client payment received,43090.0,728347.0,Y
07/09/2025,Fatima Allen - Contractor payment,-12040.0,716307.0,Y
07/10/2025,Halston Industrial Supply - Client payment received,29198.0,745505.0,Y
07/10/2025,Palmetto Industrial Group - Client payment received,23680.0,769185.0,Y
07/11/2025,Bellwright Manufacturing - Client payment received,34980.0,804165.0,Y
07/11/2025,Ashford Precision Metals - Client payment received,35856.0,840021.0,Y
07/14/2025,Dunmore Industrial - Client payment received,25056.0,865077.0,Y
07/17/2025,Dunmore Industrial - Client payment received,6996.0,872073.0,Y
07/18/2025,Dunmore Industrial - Client payment received,22372.0,881680.0,Y
07/18/2025,Mark Allen - Contractor payment,-12765.0,859308.0,Y
07/19/2025,Sandra Baker - Contractor payment,-16356.0,859768.0,Y
07/19/2025,Patricia Young - Contractor payment,-5556.0,876124.0,Y
07/23/2025,Linda Jones - Contractor payment,-26146.0,833622.0,Y
07/24/2025,Halston Industrial Supply - Client payment received,23240.0,856862.0,Y
07/30/2025,Keystone Fabrication - Client payment received,16560.0,873422.0,Y
08/03/2025,Sandra Baker - Contractor payment,-6036.0,867386.0,Y
08/03/2025,Sandra Adams - Contractor payment,-18046.0,849340.0,Y
08/04/2025,Dunmore Industrial - Client payment received,32700.0,882040.0,Y
08/05/2025,Truline Automotive Parts - Client payment received,20200.0,902240.0,Y
08/05/2025,Bellwright Manufacturing - Client payment received,25610.0,927850.0,Y
08/06/2025,Keystone Fabrication - Client payment received,4125.0,931975.0,Y
08/07/2025,Halston Industrial Supply - Client payment received,19127.0,951102.0,Y
08/10/2025,Keystone Fabrication - Client payment received,15008.0,950606.0,Y
08/10/2025,Corsair Tooling Co - Client payment received,47854.0,998460.0,Y
08/10/2025,Patricia Young - Contractor payment,-15504.0,935598.0,Y
08/11/2025,Linda Jones - Contractor payment,-6579.0,991881.0,Y
08/15/2025,Halston Industrial Supply - Client payment received,15572.0,1007453.0,Y
08/15/2025,Greenfield Machine Works - Client payment received,26818.0,1034271.0,Y
08/16/2025,Keystone Fabrication - Client payment received,37290.0,1071561.0,Y
08/16/2025,James Taylor - Contractor payment,-18590.0,1052971.0,Y
08/17/2025,Fatima Allen - Contractor payment,-14080.0,1038891.0,Y
08/18/2025,Linda Flores - Contractor payment,-12032.0,1026859.0,Y
08/19/2025,Mark Allen - Contractor payment,-19845.0,1007014.0,Y
08/20/2025,Palmetto Industrial Group - Client payment received,10890.0,1017904.0,Y
08/22/2025,Corsair Tooling Co - Client payment received,18648.0,1036552.0,Y
08/25/2025,Amberlyn Packaging Systems - Client payment received,25389.0,1061941.0,Y
08/30/2025,Truline Automotive Parts - Client payment received,29350.0,1091291.0,Y
08/31/2025,Dunmore Industrial - Client payment received,16224.0,1107515.0,Y
09/03/2025,Ashford Precision Metals - Client payment received,7371.0,1114886.0,Y
09/07/2025,Sandra Adams - Contractor payment,-10500.0,1104386.0,Y
09/09/2025,Fatima Allen - Contractor payment,-3940.0,1100446.0,Y
09/09/2025,Palmetto Industrial Group - Client payment received,20760.0,1121206.0,Y
09/10/2025,James Taylor - Contractor payment,-14339.0,1106867.0,Y
09/14/2025,Palmetto Industrial Group - Client payment received,20730.0,1127597.0,Y
09/14/2025,Greenfield Machine Works - Client payment received,18120.0,1145717.0,Y
09/15/2025,Linda Flores - Contractor payment,-5504.0,1140213.0,Y
09/16/2025,Sandra Baker - Contractor payment,-14244.0,1125969.0,Y
09/17/2025,Linda Jones - Contractor payment,-22457.0,1103512.0,Y
09/18/2025,Bellwright Manufacturing - Client payment received,26852.0,1130364.0,Y
09/21/2025,Halston Industrial Supply - Client payment received,22022.0,1152386.0,Y
09/23/2025,Corsair Tooling Co - Client payment received,18780.0,1171166.0,Y
09/24/2025,Ashford Precision Metals - Client payment received,10635.0,1181801.0,Y
09/29/2025,Dunmore Industrial - Client payment received,12988.0,1194789.0,Y
09/29/2025,Dunmore Industrial - Client payment received,13176.0,1207965.0,Y
10/04/2025,Sandra Baker - Contractor payment,-13284.0,1194681.0,Y
10/06/2025,James Taylor - Contractor payment,-17888.0,1176793.0,Y
10/10/2025,Amberlyn Packaging Systems - Client payment received,5425.0,1182218.0,Y
10/11/2025,Halston Industrial Supply - Client payment received,32896.0,1215114.0,Y
10/15/2025,Keystone Fabrication - Client payment received,24130.0,1239244.0,Y
10/15/2025,Keystone Fabrication - Client payment received,18915.0,1258159.0,Y
10/18/2025,Keystone Fabrication - Client payment received,10314.0,1268473.0,Y
10/19/2025,Dunmore Industrial - Client payment received,21522.0,1289995.0,Y
10/20/2025,Linda Flores - Contractor payment,-22752.0,1267243.0,Y
10/22/2025,Greenfield Machine Works - Client payment received,6291.0,1273534.0,Y
10/23/2025,Dunmore Industrial - Client payment received,20514.0,1294048.0,Y
10/25/2025,Sandra Adams - Contractor payment,-8736.0,1285312.0,Y
10/27/2025,Patricia Young - Contractor payment,-12120.0,1273192.0,Y
10/29/2025,Truline Automotive Parts - Client payment received,9372.0,1282564.0,Y
10/31/2025,Keystone Fabrication - Client payment received,8349.0,1290913.0,Y
11/04/2025,James Taylor - Contractor payment,-7124.0,1283789.0,Y
11/07/2025,Truline Automotive Parts - Client payment received,31712.0,1315501.0,Y
11/08/2025,Truline Automotive Parts - Client payment received,32850.0,1348351.0,Y
11/08/2025,Bellwright Manufacturing - Client payment received,7625.0,1355976.0,Y
11/08/2025,Palmetto Industrial Group - Client payment received,12810.0,1368786.0,Y
11/09/2025,Halston Industrial Supply - Client payment received,22272.0,1391058.0,Y
11/17/2025,Greenfield Machine Works - Client payment received,10686.0,1401744.0,Y
11/19/2025,Halston Industrial Supply - Client payment received,8208.0,1409952.0,Y
11/21/2025,Patricia Young - Contractor payment,-18516.0,1391436.0,Y
11/22/2025,Keystone Fabrication - Client payment received,20808.0,1412244.0,Y
11/24/2025,Sandra Adams - Contractor payment,-9982.0,1402262.0,Y
11/25/2025,Sandra Baker - Contractor payment,-6096.0,1396166.0,Y
11/25/2025,Ashford Precision Metals - Client payment received,10440.0,1406606.0,Y
11/26/2025,Dunmore Industrial - Client payment received,11928.0,1418534.0,Y
11/27/2025,Truline Automotive Parts - Client payment received,14421.0,1432955.0,Y
11/27/2025,Linda Flores - Contractor payment,-20144.0,1412811.0,Y
11/27/2025,Linda Jones - Contractor payment,-12597.0,1400214.0,Y
11/29/2025,Fatima Allen - Contractor payment,-13200.0,1387014.0,Y
12/05/2025,Linda Jones - Contractor payment,-10302.0,1376712.0,Y
12/05/2025,Corsair Tooling Co - Client payment received,25327.0,1402039.0,Y
12/08/2025,James Taylor - Contractor payment,-10868.0,1391171.0,Y
12/09/2025,Dunmore Industrial - Client payment received,23582.0,1414753.0,Y
12/10/2025,Truline Automotive Parts - Client payment received,17640.0,1432393.0,Y
12/11/2025,Palmetto Industrial Group - Client payment received,11730.0,1444123.0,Y
12/13/2025,Ashford Precision Metals - Client payment received,27740.0,1471863.0,Y
12/13/2025,Palmetto Industrial Group - Client payment received,16896.0,1488759.0,Y
12/15/2025,Ashford Precision Metals - Client payment received,17295.0,1506054.0,Y
12/16/2025,Palmetto Industrial Group - Client payment received,9680.0,1515734.0,Y
12/17/2025,Bellwright Manufacturing - Client payment received,16606.0,1532340.0,Y
12/21/2025,Dunmore Industrial - Client payment received,27586.0,1559926.0,Y
12/22/2025,Amberlyn Packaging Systems - Client payment received,7968.0,1567894.0,Y
12/23/2025,Keystone Fabrication - Client payment received,19368.0,1587262.0,Y
12/30/2025,Sandra Adams - Contractor payment,-19502.0,1567760.0,Y
12/31/2025,Linda Flores - Contractor payment,-17696.0,1550064.0,Y
2025-01-25,Payroll - Payroll clearing,-246096.65,1303967.35,Y
2025-02-16,Payroll - Payroll clearing,-246096.65,1057870.7,Y
2025-03-15,Payroll - Payroll clearing,-246096.65,811774.05,Y
2025-04-23,Payroll - Payroll clearing,-246096.65,565677.4,Y
2025-05-19,Payroll - Payroll clearing,-246096.65,319580.75,Y
2025-06-12,Payroll - Payroll clearing,-246096.65,73484.1,Y
2025-07-16,Payroll - Payroll clearing,-246096.65,-172612.55,Y
2025-07-19,BANK FEE / UNKNOWN DEBIT,-355.38,-1404404.17,N - not recorded in GL
2025-08-12,BANK FEE / UNKNOWN DEBIT,-44.89,-1403140.69,N - not recorded in GL
2025-08-23,Payroll - Payroll clearing,-246096.65,-418709.2,Y
2025-09-22,Payroll - Payroll clearing,-246096.65,-664805.85,Y
2025-10-01,Payroll - Payroll clearing,-246096.65,-910902.5,Y
2025-10-13,BANK FEE / UNKNOWN DEBIT,-835.92,-1403976.61,N - not recorded in GL
2025-11-13,BANK FEE / UNKNOWN DEBIT,-72.18,-1404048.79,N - not recorded in GL
2025-11-15,Payroll - Payroll clearing,-246096.65,-1156999.15,Y
2025-12-02,Payroll - Payroll clearing,-246096.65,-1403095.8,Y
